Date,Product,Category,Region,Age Group,Units Sold,Unit Price,Total Sales
2022-10-10,Watch,Accessories,West,26-35,16,153.04,2448.64
2022-12-21,Headphones,Electronics,West,36-45,5,186.55,932.75
2024-07-12,Laptop,Electronics,East,18-25,16,926.38,14822.08
2024-02-26,Backpack,Accessories,West,46+,14,82.32,1152.48
2024-06-28,Backpack,Accessories,South,18-25,19,71.59,1360.21
2023-03-28,Jeans,Clothing,North,36-45,8,59.44,475.52
2022-12-11,Backpack,Accessories,West,18-25,19,72.9,1385.1
2024-01-22,Laptop,Electronics,West,26-35,14,919.56,12873.84
2023-05-22,Jeans,Clothing,North,46+,9,57.21,514.89
2022-06-28,Backpack,Accessories,North,26-35,7,83.91,587.37
2023-12-20,Watch,Accessories,South,26-35,7,158.34,1108.38
2022-05-02,Sneakers,Footwear,East,26-35,11,97.53,1072.83
2023-08-23,Jeans,Clothing,East,18-25,5,64.46,322.3
2024-04-22,Laptop,Electronics,East,26-35,5,948.99,4744.95
2023-10-22,T-Shirt,Clothing,West,46+,5,29.45,147.25
2023-07-05,Watch,Accessories,West,46+,3,152.98,458.94
2022-07-10,Watch,Accessories,East,36-45,15,162.42,2436.3
2023-11-02,Laptop,Electronics,North,46+,12,1068.95,12827.4
2024-12-30,Watch,Accessories,South,46+,7,148.84,1041.88
2023-10-24,Jeans,Clothing,East,26-35,19,63.16,1200.04
2023-12-05,Laptop,Electronics,North,18-25,15,902.35,13535.25
2022-11-20,Backpack,Accessories,West,18-25,14,74.3,1040.2
2022-09-28,Jeans,Clothing,South,36-45,3,60.82,182.46
2023-05-28,Phone,Electronics,East,26-35,2,684.51,1369.02
2023-09-18,T-Shirt,Clothing,West,18-25,4,26.11,104.44
2024-09-03,Phone,Electronics,South,26-35,17,724.16,12310.72
2022-01-20,Laptop,Electronics,East,18-25,14,1037.77,14528.78
2024-09-05,Phone,Electronics,South,46+,3,731.26,2193.78
2022-07-29,Phone,Electronics,East,36-45,10,648.27,6482.7
2022-09-30,Headphones,Electronics,North,18-25,20,204.97,4099.4
2024-06-20,Sneakers,Footwear,South,26-35,14,91.07,1274.98
2024-06-25,T-Shirt,Clothing,North,18-25,5,30.46,152.3
2024-02-26,Sneakers,Footwear,West,36-45,5,84.51,422.55
2022-06-22,T-Shirt,Clothing,East,18-25,10,27.29,272.9
2024-11-09,T-Shirt,Clothing,West,36-45,2,30.65,61.3
2023-05-06,Backpack,Accessories,West,18-25,8,78.99,631.92
2022-05-26,Laptop,Electronics,East,36-45,5,976.39,4881.95
2024-05-11,Sneakers,Footwear,South,46+,3,80.4,241.2
2022-05-19,Laptop,Electronics,East,26-35,2,1083.43,2166.86
2024-03-26,Jeans,Clothing,West,46+,13,54.07,702.91
2022-11-09,Jeans,Clothing,North,36-45,3,59.13,177.39
2023-02-21,Headphones,Electronics,East,46+,19,204.34,3882.46
2022-05-16,Jeans,Clothing,West,26-35,2,55.98,111.96
2024-06-08,Phone,Electronics,West,18-25,10,722.22,7222.2
2022-12-26,Phone,Electronics,North,26-35,1,652.0,652.0
2023-12-12,Jeans,Clothing,South,36-45,5,61.95,309.75
2023-07-05,Phone,Electronics,North,36-45,14,667.12,9339.68
2022-05-11,Jeans,Clothing,North,46+,15,59.13,886.95
2022-04-24,Backpack,Accessories,South,36-45,6,75.13,450.78
2022-07-30,Phone,Electronics,South,18-25,2,749.14,1498.28
2022-01-26,T-Shirt,Clothing,North,46+,12,28.32,339.84
2022-11-04,Headphones,Electronics,North,46+,8,191.91,1535.28
2024-05-02,Sneakers,Footwear,East,18-25,19,86.74,1648.06
2024-10-25,Laptop,Electronics,South,26-35,17,1095.19,18618.23
2024-04-01,Phone,Electronics,West,36-45,10,674.86,6748.6
2024-07-24,Laptop,Electronics,East,26-35,10,1011.75,10117.5
2023-09-15,T-Shirt,Clothing,West,36-45,19,31.74,603.06
2023-02-05,T-Shirt,Clothing,South,18-25,14,26.24,367.36
2023-12-11,Laptop,Electronics,East,18-25,13,1068.73,13893.49
2023-09-22,Phone,Electronics,South,26-35,14,697.89,9770.46
2022-05-03,Headphones,Electronics,East,18-25,2,215.77,431.54
2024-11-30,Watch,Accessories,East,46+,3,151.41,454.23
2024-11-01,Headphones,Electronics,West,18-25,19,201.7,3832.3
2024-06-09,Headphones,Electronics,South,36-45,9,212.97,1916.73
2024-03-15,Sneakers,Footwear,East,46+,9,84.26,758.34
2023-02-20,Headphones,Electronics,North,26-35,4,185.64,742.56
2024-08-12,Sneakers,Footwear,West,18-25,18,86.48,1556.64
2023-03-02,Backpack,Accessories,East,46+,9,84.57,761.13
2022-07-05,Headphones,Electronics,East,18-25,7,212.37,1486.59
2023-11-03,Headphones,Electronics,North,26-35,12,194.87,2338.44
2022-04-11,Jeans,Clothing,East,26-35,1,64.33,64.33
2024-07-15,T-Shirt,Clothing,North,46+,4,30.76,123.04
2022-10-14,Phone,Electronics,North,18-25,8,647.37,5178.96
2024-03-31,Sneakers,Footwear,North,36-45,3,80.49,241.47
2022-05-13,T-Shirt,Clothing,West,26-35,3,31.35,94.05
2023-11-11,Phone,Electronics,North,46+,2,652.58,1305.16
2024-06-06,Watch,Accessories,West,18-25,13,154.46,2007.98
2022-12-20,Sneakers,Footwear,South,26-35,9,85.08,765.72
2022-11-01,Laptop,Electronics,South,36-45,16,981.42,15702.72
2024-09-08,Laptop,Electronics,North,36-45,13,926.52,12044.76
2023-02-13,T-Shirt,Clothing,North,46+,12,28.88,346.56
2024-09-19,Sneakers,Footwear,East,46+,9,83.3,749.7
2023-10-16,T-Shirt,Clothing,North,36-45,2,30.79,61.58
2024-08-24,Sneakers,Footwear,South,26-35,4,84.51,338.04
2023-05-09,Jeans,Clothing,North,26-35,19,63.09,1198.71
2024-03-06,Sneakers,Footwear,South,26-35,8,90.65,725.2
2024-01-05,Laptop,Electronics,East,26-35,19,1088.58,20683.02
2024-10-05,Jeans,Clothing,South,46+,2,54.17,108.34
2023-04-22,T-Shirt,Clothing,North,46+,1,28.02,28.02
2023-02-17,Headphones,Electronics,East,26-35,11,181.47,1996.17
2022-10-30,Headphones,Electronics,North,36-45,3,193.97,581.91
2024-03-21,Phone,Electronics,East,36-45,11,648.18,7129.98
2022-11-19,Watch,Accessories,West,36-45,6,155.17,931.02
2024-01-01,T-Shirt,Clothing,South,46+,10,30.36,303.6
2023-08-27,Headphones,Electronics,South,18-25,19,194.69,3699.11
2022-03-08,Headphones,Electronics,East,26-35,19,183.24,3481.56
2024-10-13,Headphones,Electronics,East,18-25,8,192.9,1543.2
2023-10-17,Headphones,Electronics,North,36-45,15,179.55,2693.25
2023-03-06,T-Shirt,Clothing,North,36-45,9,30.66,275.94
2022-01-03,Laptop,Electronics,West,46+,14,1092.73,15298.22
2024-04-27,Backpack,Accessories,West,36-45,18,77.03,1386.54
2024-09-08,T-Shirt,Clothing,South,46+,3,30.74,92.22
2022-03-10,Jeans,Clothing,North,36-45,9,64.33,578.97
2022-06-01,Sneakers,Footwear,South,46+,6,93.13,558.78
2022-07-10,Sneakers,Footwear,West,18-25,14,96.88,1356.32
2022-12-04,Watch,Accessories,South,18-25,4,143.97,575.88
2023-01-25,Watch,Accessories,East,36-45,10,141.18,1411.8
2022-04-12,Watch,Accessories,West,26-35,2,144.85,289.7
2024-05-25,Phone,Electronics,East,46+,7,642.66,4498.62
2023-02-28,Headphones,Electronics,East,18-25,16,212.68,3402.88
2023-09-24,Watch,Accessories,West,46+,9,136.82,1231.38
2024-03-04,Headphones,Electronics,East,46+,12,186.53,2238.36
2022-04-02,Jeans,Clothing,West,46+,9,55.77,501.93
2023-07-05,Laptop,Electronics,South,18-25,3,1032.59,3097.77
2024-04-27,T-Shirt,Clothing,North,46+,17,28.53,485.01
2024-08-30,T-Shirt,Clothing,West,36-45,3,28.39,85.17
2022-03-13,Headphones,Electronics,North,46+,6,216.87,1301.22
2022-12-09,T-Shirt,Clothing,South,26-35,2,28.56,57.12
2024-06-10,T-Shirt,Clothing,South,36-45,11,31.38,345.18
2022-05-18,Phone,Electronics,West,46+,18,674.69,12144.42
2023-07-20,Backpack,Accessories,North,46+,4,77.65,310.6
2022-10-31,Phone,Electronics,North,18-25,10,750.37,7503.7
2023-12-06,Watch,Accessories,East,46+,16,151.15,2418.4
2024-08-26,Laptop,Electronics,South,36-45,13,927.84,12061.92
2024-04-02,Laptop,Electronics,West,36-45,8,908.95,7271.6
2024-08-31,Jeans,Clothing,East,18-25,11,62.75,690.25
2023-09-13,Jeans,Clothing,East,46+,4,64.58,258.32
2023-04-12,Headphones,Electronics,East,46+,11,189.82,2088.02
2024-05-03,Phone,Electronics,South,46+,7,756.8,5297.6
2024-04-13,Backpack,Accessories,East,18-25,17,83.61,1421.37
2022-05-15,Jeans,Clothing,West,26-35,17,63.48,1079.16
2022-03-01,Headphones,Electronics,South,26-35,2,189.03,378.06
2024-07-23,Laptop,Electronics,East,26-35,9,972.7,8754.3
2024-08-08,Watch,Accessories,North,18-25,8,145.2,1161.6
2024-07-02,Headphones,Electronics,West,36-45,12,185.61,2227.32
2023-06-14,Phone,Electronics,East,18-25,13,636.04,8268.52
2023-03-15,T-Shirt,Clothing,South,26-35,9,29.88,268.92
2024-11-17,Laptop,Electronics,North,46+,5,1028.44,5142.2
2022-01-18,T-Shirt,Clothing,East,36-45,9,28.56,257.04
2024-02-11,Sneakers,Footwear,West,36-45,7,88.41,618.87
2024-12-02,Watch,Accessories,North,18-25,17,163.88,2785.96
2024-02-06,Jeans,Clothing,East,18-25,16,53.85,861.6
2023-07-21,Sneakers,Footwear,East,36-45,10,83.45,834.5
2024-11-25,T-Shirt,Clothing,North,46+,11,30.05,330.55
2022-02-22,Backpack,Accessories,East,36-45,14,77.49,1084.86
2022-03-14,T-Shirt,Clothing,East,26-35,18,29.8,536.4
2024-09-01,Sneakers,Footwear,East,26-35,18,83.32,1499.76
2022-07-19,Backpack,Accessories,South,36-45,18,83.15,1496.7
2023-01-10,Sneakers,Footwear,North,26-35,12,84.08,1008.96
2023-09-21,Watch,Accessories,East,36-45,9,151.55,1363.95
2024-08-07,Phone,Electronics,West,18-25,19,710.23,13494.37
2022-05-26,Backpack,Accessories,South,18-25,13,79.47,1033.11
2024-04-26,Laptop,Electronics,South,26-35,7,967.57,6772.99
2024-07-26,Headphones,Electronics,East,26-35,3,198.51,595.53
2022-12-29,Sneakers,Footwear,North,18-25,15,84.97,1274.55
2022-12-12,Headphones,Electronics,West,18-25,5,203.56,1017.8
2024-05-29,Watch,Accessories,West,46+,13,134.24,1745.12
2024-12-29,T-Shirt,Clothing,East,18-25,11,30.49,335.39
2024-12-23,T-Shirt,Clothing,North,18-25,8,27.41,219.28
2023-12-07,Jeans,Clothing,South,18-25,13,59.04,767.52
2023-09-19,Headphones,Electronics,North,18-25,10,216.85,2168.5
2024-07-22,Sneakers,Footwear,West,26-35,11,97.83,1076.13
2024-09-30,Sneakers,Footwear,South,26-35,13,80.44,1045.72
2023-04-05,Headphones,Electronics,South,18-25,19,199.18,3784.42
2022-09-10,Sneakers,Footwear,North,46+,9,93.83,844.47
2022-04-10,Laptop,Electronics,North,18-25,2,1036.91,2073.82
2024-05-03,Backpack,Accessories,West,18-25,18,75.09,1351.62
2022-11-10,T-Shirt,Clothing,North,36-45,14,29.94,419.16
2024-12-01,Jeans,Clothing,South,46+,4,59.14,236.56
2022-08-30,Jeans,Clothing,North,18-25,16,55.44,887.04
2023-02-14,Jeans,Clothing,South,36-45,14,56.59,792.26
2022-03-22,Backpack,Accessories,South,46+,11,74.81,822.91
2022-01-27,Phone,Electronics,North,46+,5,761.83,3809.15
2024-11-13,Phone,Electronics,North,36-45,8,692.95,5543.6
2023-08-30,Jeans,Clothing,West,18-25,4,62.7,250.8
2022-03-22,Jeans,Clothing,East,36-45,14,61.81,865.34
2022-07-14,Laptop,Electronics,North,26-35,6,964.77,5788.62
2024-06-15,Jeans,Clothing,North,36-45,11,55.26,607.86
2024-03-31,Watch,Accessories,West,36-45,13,154.66,2010.58
2024-09-06,Watch,Accessories,South,18-25,5,154.85,774.25
2022-05-01,Headphones,Electronics,North,46+,19,198.31,3767.89
2024-06-16,Headphones,Electronics,West,36-45,20,180.25,3605.0
2022-09-25,Backpack,Accessories,West,18-25,14,78.06,1092.84
2022-05-10,Jeans,Clothing,East,18-25,17,62.16,1056.72
2023-04-04,Sneakers,Footwear,North,46+,8,88.68,709.44
2024-02-28,Headphones,Electronics,North,18-25,6,199.22,1195.32
2024-08-19,Backpack,Accessories,South,18-25,16,76.17,1218.72
2023-11-09,Jeans,Clothing,North,26-35,18,60.69,1092.42
2024-04-05,T-Shirt,Clothing,North,46+,15,30.75,461.25
2024-07-06,Phone,Electronics,West,46+,11,645.7,7102.7
2024-10-15,Laptop,Electronics,North,46+,14,906.26,12687.64
2022-01-01,Phone,Electronics,East,26-35,15,761.96,11429.4
2024-01-15,Laptop,Electronics,South,46+,11,1011.02,11121.22
2024-08-26,Sneakers,Footwear,West,18-25,4,93.62,374.48
2023-03-31,Laptop,Electronics,East,36-45,10,1008.53,10085.3
2024-02-05,Phone,Electronics,North,26-35,16,648.73,10379.68
2024-04-18,Phone,Electronics,East,26-35,7,645.98,4521.86
2024-03-15,T-Shirt,Clothing,West,26-35,11,26.73,294.03
2024-04-28,Laptop,Electronics,North,46+,15,1030.66,15459.9
2024-10-29,Headphones,Electronics,West,18-25,17,208.4,3542.8
2024-06-05,Backpack,Accessories,South,26-35,5,72.74,363.7
2023-10-22,Watch,Accessories,West,26-35,9,145.96,1313.64
2023-12-04,Jeans,Clothing,West,26-35,5,57.97,289.85
2024-11-15,Jeans,Clothing,East,26-35,7,55.57,388.99
2023-08-19,Sneakers,Footwear,South,26-35,17,89.76,1525.92
2023-10-23,Phone,Electronics,East,46+,19,708.88,13468.72
2024-05-04,Jeans,Clothing,West,18-25,17,54.36,924.12
2024-02-20,Headphones,Electronics,North,18-25,7,189.73,1328.11
2022-11-26,Jeans,Clothing,East,26-35,2,61.25,122.5
2023-08-28,T-Shirt,Clothing,North,36-45,15,26.69,400.35
2023-04-05,Watch,Accessories,South,36-45,2,161.71,323.42
2024-03-04,Watch,Accessories,East,18-25,1,156.26,156.26
2023-02-20,Backpack,Accessories,South,36-45,19,79.74,1515.06
2023-02-07,T-Shirt,Clothing,East,46+,6,31.8,190.8
2022-06-02,Headphones,Electronics,South,18-25,13,180.72,2349.36
2023-07-26,Jeans,Clothing,South,26-35,19,63.08,1198.52
2022-01-12,Sneakers,Footwear,West,26-35,2,82.84,165.68
2023-10-23,Laptop,Electronics,East,46+,19,1009.02,19171.38
2022-05-30,Sneakers,Footwear,South,26-35,17,81.31,1382.27
2024-10-31,Headphones,Electronics,West,46+,3,193.01,579.03
2023-03-13,Sneakers,Footwear,East,36-45,10,83.99,839.9
2024-12-22,Backpack,Accessories,North,18-25,12,78.14,937.68
2023-05-15,Laptop,Electronics,East,46+,4,976.2,3904.8
2023-08-03,Laptop,Electronics,East,46+,16,907.86,14525.76
2023-01-30,Sneakers,Footwear,North,18-25,6,97.39,584.34
2024-12-28,Laptop,Electronics,North,26-35,7,1071.92,7503.44
2024-05-18,Phone,Electronics,South,46+,3,733.52,2200.56
2022-11-11,Laptop,Electronics,West,36-45,2,916.59,1833.18
2022-04-22,Headphones,Electronics,East,18-25,19,211.8,4024.2
2023-06-14,Watch,Accessories,West,46+,13,147.0,1911.0
2022-02-04,Watch,Accessories,North,18-25,20,135.98,2719.6
2022-04-04,Phone,Electronics,East,18-25,10,739.11,7391.1
2023-09-10,Phone,Electronics,East,46+,13,684.34,8896.42
2022-03-05,Backpack,Accessories,South,26-35,5,82.9,414.5
2023-08-28,Headphones,Electronics,East,36-45,1,201.13,201.13
2022-10-17,Phone,Electronics,North,18-25,19,712.51,13537.69
2022-06-24,Jeans,Clothing,South,36-45,7,57.97,405.79
2024-11-15,Headphones,Electronics,South,26-35,8,203.65,1629.2
2023-06-02,T-Shirt,Clothing,North,26-35,19,31.04,589.76
2024-08-02,Phone,Electronics,East,18-25,9,642.83,5785.47
2024-09-24,Sneakers,Footwear,East,26-35,8,81.88,655.04
2022-05-23,T-Shirt,Clothing,East,46+,15,28.0,420.0
2023-09-19,Headphones,Electronics,East,36-45,14,185.81,2601.34
2023-10-04,T-Shirt,Clothing,South,46+,9,30.97,278.73
2022-10-03,Sneakers,Footwear,West,46+,15,86.49,1297.35
2023-09-18,Backpack,Accessories,North,26-35,20,72.4,1448.0
2023-07-29,Headphones,Electronics,South,36-45,3,208.05,624.15
2022-02-08,Laptop,Electronics,West,26-35,2,1009.31,2018.62
2024-08-24,Headphones,Electronics,East,46+,8,214.58,1716.64
2023-08-19,Headphones,Electronics,West,18-25,13,193.58,2516.54
2022-01-22,T-Shirt,Clothing,South,26-35,15,27.02,405.3
2022-10-27,Backpack,Accessories,East,18-25,8,83.13,665.04
2023-04-20,Phone,Electronics,East,36-45,8,635.08,5080.64
2023-02-28,Sneakers,Footwear,West,46+,15,95.79,1436.85
2022-03-23,Sneakers,Footwear,North,36-45,9,90.4,813.6
2022-12-23,Watch,Accessories,West,36-45,19,153.57,2917.83
2022-06-09,Jeans,Clothing,West,26-35,17,57.89,984.13
2023-12-08,Backpack,Accessories,West,18-25,17,85.04,1445.68
2024-06-19,Headphones,Electronics,South,18-25,17,204.71,3480.07
2023-03-10,Headphones,Electronics,South,26-35,12,203.06,2436.72
2022-08-31,T-Shirt,Clothing,West,36-45,4,28.89,115.56
2024-09-07,Backpack,Accessories,South,26-35,14,71.45,1000.3
2022-03-30,Headphones,Electronics,South,26-35,17,180.66,3071.22
2022-10-28,Laptop,Electronics,South,36-45,6,1002.32,6013.92
2024-04-10,Laptop,Electronics,East,18-25,7,988.85,6921.95
2024-08-23,Backpack,Accessories,South,26-35,14,80.59,1128.26
2023-01-08,Jeans,Clothing,South,36-45,15,60.14,902.1
2022-05-21,T-Shirt,Clothing,West,46+,5,26.73,133.65
2023-02-19,Watch,Accessories,South,18-25,6,148.28,889.68
2022-03-21,Phone,Electronics,North,46+,5,755.2,3776.0
2022-01-03,Watch,Accessories,West,36-45,2,154.89,309.78
2024-05-28,T-Shirt,Clothing,West,46+,12,29.52,354.24
2022-07-20,Watch,Accessories,South,36-45,16,156.92,2510.72
2022-06-21,Jeans,Clothing,West,36-45,7,53.16,372.12
2022-01-15,Phone,Electronics,North,46+,7,725.25,5076.75
2023-10-09,Watch,Accessories,East,18-25,5,146.8,734.0
2023-06-04,Jeans,Clothing,West,36-45,20,56.35,1127.0
2024-03-24,T-Shirt,Clothing,West,46+,6,28.25,169.5
2024-09-17,Jeans,Clothing,East,36-45,13,61.78,803.14
2022-09-01,T-Shirt,Clothing,West,26-35,4,27.34,109.36
2024-03-31,Sneakers,Footwear,North,26-35,13,97.27,1264.51
2022-01-11,Phone,Electronics,South,46+,20,689.97,13799.4
2022-05-12,Jeans,Clothing,South,36-45,3,60.29,180.87
2024-02-27,Watch,Accessories,East,18-25,6,153.18,919.08
2024-06-18,Laptop,Electronics,South,36-45,7,905.82,6340.74
2024-11-11,T-Shirt,Clothing,South,18-25,12,27.49,329.88
2022-01-01,Headphones,Electronics,North,36-45,13,193.15,2510.95
2024-03-20,Watch,Accessories,South,18-25,3,161.49,484.47
2023-08-06,Sneakers,Footwear,East,36-45,8,90.89,727.12
2023-02-03,Backpack,Accessories,West,18-25,9,73.87,664.83
2024-11-02,Phone,Electronics,North,36-45,11,761.49,8376.39
2024-11-17,Jeans,Clothing,East,46+,13,59.75,776.75
2023-05-14,Sneakers,Footwear,West,46+,19,95.44,1813.36
2024-09-14,Phone,Electronics,East,18-25,13,717.69,9329.97
2023-03-28,T-Shirt,Clothing,East,46+,12,29.1,349.2
2022-01-20,Jeans,Clothing,South,36-45,3,57.81,173.43
2023-12-02,Phone,Electronics,South,46+,11,678.52,7463.72
2023-07-06,Headphones,Electronics,South,46+,7,188.45,1319.15
2023-05-11,Jeans,Clothing,South,26-35,7,62.95,440.65
2023-12-31,Headphones,Electronics,North,18-25,3,206.0,618.0
2024-10-05,Laptop,Electronics,North,46+,12,1023.11,12277.32
2024-10-05,Jeans,Clothing,West,26-35,17,56.41,958.97
2023-03-31,Headphones,Electronics,North,46+,16,216.5,3464.0
2022-03-08,Sneakers,Footwear,West,26-35,15,97.48,1462.2
2024-11-27,Backpack,Accessories,East,18-25,1,81.75,81.75
2024-02-17,Phone,Electronics,East,36-45,20,749.59,14991.8
2023-01-19,Jeans,Clothing,South,36-45,16,64.41,1030.56
2023-12-04,Sneakers,Footwear,South,46+,14,83.85,1173.9
2024-02-02,Sneakers,Footwear,West,36-45,15,83.3,1249.5
2022-09-26,T-Shirt,Clothing,North,36-45,8,29.32,234.56
2024-02-20,T-Shirt,Clothing,South,26-35,16,30.77,492.32
2022-12-28,Watch,Accessories,West,26-35,17,150.01,2550.17
2023-10-09,Backpack,Accessories,East,36-45,18,84.66,1523.88
2022-04-08,Watch,Accessories,North,26-35,2,140.52,281.04
2023-06-05,Backpack,Accessories,North,46+,11,75.2,827.2
2024-01-08,Jeans,Clothing,East,18-25,14,54.53,763.42
2023-02-12,Headphones,Electronics,East,36-45,11,205.89,2264.79
2024-09-25,Backpack,Accessories,North,46+,20,75.63,1512.6
2022-10-24,Headphones,Electronics,East,46+,20,201.85,4037.0
2022-05-27,Phone,Electronics,South,36-45,8,672.92,5383.36
2023-08-20,Jeans,Clothing,West,36-45,15,62.32,934.8
2024-01-14,Backpack,Accessories,West,26-35,6,84.6,507.6
2022-09-14,T-Shirt,Clothing,East,18-25,7,27.07,189.49
2022-07-30,Phone,Electronics,North,46+,18,636.62,11459.16
2024-03-24,Phone,Electronics,North,36-45,20,650.81,13016.2
2024-03-09,Jeans,Clothing,South,26-35,10,58.33,583.3
2022-09-16,Headphones,Electronics,South,18-25,2,205.51,411.02
2023-10-29,Backpack,Accessories,West,36-45,18,78.13,1406.34
2022-12-29,Backpack,Accessories,West,36-45,12,78.71,944.52
2023-04-11,Phone,Electronics,West,36-45,12,686.73,8240.76
2022-11-15,Jeans,Clothing,North,18-25,17,62.72,1066.24
2022-10-07,Sneakers,Footwear,East,46+,18,80.25,1444.5
2024-10-04,Backpack,Accessories,East,18-25,14,83.71,1171.94
2023-04-19,Laptop,Electronics,East,26-35,14,1075.36,15055.04
2024-06-14,Watch,Accessories,South,26-35,13,158.79,2064.27
2023-03-28,Jeans,Clothing,North,46+,8,59.2,473.6
2023-07-11,Jeans,Clothing,East,46+,7,63.17,442.19
2023-01-09,Headphones,Electronics,East,18-25,15,203.69,3055.35
2023-07-12,Backpack,Accessories,South,36-45,1,73.5,73.5
2024-12-31,Laptop,Electronics,South,18-25,10,952.89,9528.9
2024-06-16,Laptop,Electronics,South,18-25,5,902.04,4510.2
2023-03-21,Sneakers,Footwear,West,36-45,16,97.86,1565.76
2024-08-07,Laptop,Electronics,East,18-25,5,910.3,4551.5
2024-03-14,Phone,Electronics,West,26-35,7,754.32,5280.24
2023-05-28,Watch,Accessories,North,18-25,8,145.57,1164.56
2024-06-26,T-Shirt,Clothing,North,26-35,15,30.36,455.4
2022-07-12,T-Shirt,Clothing,West,46+,10,31.53,315.3
2022-11-21,Laptop,Electronics,North,36-45,16,1026.68,16426.88
2023-02-11,Sneakers,Footwear,North,26-35,4,84.3,337.2
2024-06-08,Sneakers,Footwear,North,26-35,9,90.51,814.59
2024-03-21,T-Shirt,Clothing,North,18-25,19,30.64,582.16
2024-08-31,Headphones,Electronics,East,18-25,8,185.38,1483.04
2022-07-07,Sneakers,Footwear,North,18-25,12,91.57,1098.84
2022-08-08,Headphones,Electronics,West,26-35,11,218.17,2399.87
2023-12-13,Backpack,Accessories,South,18-25,13,76.76,997.88
2022-10-03,Jeans,Clothing,North,46+,15,59.7,895.5
2024-09-30,T-Shirt,Clothing,South,36-45,11,30.35,333.85
2023-07-18,Headphones,Electronics,North,26-35,15,190.87,2863.05
2023-06-24,Sneakers,Footwear,West,18-25,17,86.85,1476.45
2023-01-15,Laptop,Electronics,East,26-35,11,1043.16,11474.76
2024-03-04,T-Shirt,Clothing,West,26-35,20,27.74,554.8
2024-04-19,Sneakers,Footwear,North,18-25,17,91.83,1561.11
2022-03-31,Headphones,Electronics,South,18-25,7,183.36,1283.52
2023-01-28,Phone,Electronics,North,46+,16,702.61,11241.76
2023-06-09,Laptop,Electronics,East,26-35,20,1042.53,20850.6
2022-01-27,T-Shirt,Clothing,West,18-25,15,30.75,461.25
2022-05-05,Sneakers,Footwear,West,36-45,2,94.76,189.52
2023-06-29,Laptop,Electronics,North,36-45,3,1087.83,3263.49
2024-11-29,Phone,Electronics,North,26-35,18,682.97,12293.46
2023-01-31,T-Shirt,Clothing,South,46+,4,30.54,122.16
2024-01-04,Backpack,Accessories,West,18-25,6,83.62,501.72
2024-04-02,Sneakers,Footwear,South,46+,12,96.16,1153.92
2023-10-27,Sneakers,Footwear,West,46+,11,90.93,1000.23
2023-03-15,Watch,Accessories,East,36-45,15,147.44,2211.6
2024-03-24,Laptop,Electronics,North,36-45,20,902.36,18047.2
2022-10-04,Jeans,Clothing,North,36-45,8,55.63,445.04
2023-10-07,Laptop,Electronics,East,26-35,4,906.64,3626.56
2023-12-30,Headphones,Electronics,South,36-45,12,214.51,2574.12
2023-05-27,T-Shirt,Clothing,East,36-45,3,29.41,88.23
2023-03-22,Phone,Electronics,East,46+,6,697.36,4184.16
2022-07-15,Jeans,Clothing,North,46+,3,62.31,186.93
2023-11-16,Sneakers,Footwear,West,46+,4,95.58,382.32
2023-04-10,Laptop,Electronics,West,18-25,10,1003.87,10038.7
2023-10-16,Headphones,Electronics,East,26-35,5,181.11,905.55
2024-03-15,Backpack,Accessories,North,26-35,14,75.68,1059.52
2024-03-18,Headphones,Electronics,South,36-45,3,198.04,594.12
2022-04-11,Watch,Accessories,East,18-25,13,149.05,1937.65
2022-09-25,Headphones,Electronics,West,26-35,16,194.83,3117.28
2023-02-06,T-Shirt,Clothing,South,18-25,9,30.61,275.49
2023-10-25,Phone,Electronics,North,46+,14,680.16,9522.24
2023-01-26,Sneakers,Footwear,East,18-25,10,83.11,831.1
2023-12-18,Backpack,Accessories,South,46+,2,85.7,171.4
2023-04-24,T-Shirt,Clothing,East,26-35,3,26.75,80.25
2022-04-22,T-Shirt,Clothing,South,36-45,1,28.09,28.09
2022-08-16,Jeans,Clothing,West,46+,1,57.02,57.02
2023-03-10,T-Shirt,Clothing,East,46+,20,30.33,606.6
2022-10-17,Laptop,Electronics,West,18-25,9,933.13,8398.17
2023-08-05,T-Shirt,Clothing,East,18-25,15,29.9,448.5
2022-01-18,Phone,Electronics,West,36-45,12,749.93,8999.16
2022-02-09,Jeans,Clothing,West,26-35,13,59.1,768.3
2022-07-23,Sneakers,Footwear,West,18-25,6,83.64,501.84
2024-07-26,Laptop,Electronics,North,26-35,17,960.02,16320.34
2024-09-30,Watch,Accessories,South,18-25,12,154.49,1853.88
2023-12-29,Jeans,Clothing,South,36-45,2,60.48,120.96
2024-03-03,Laptop,Electronics,East,26-35,5,967.39,4836.95
2024-03-15,Headphones,Electronics,North,46+,17,217.33,3694.61
2023-04-11,Watch,Accessories,South,26-35,14,163.02,2282.28
2023-11-06,Backpack,Accessories,South,26-35,5,80.28,401.4
2023-02-19,Headphones,Electronics,East,26-35,14,218.73,3062.22
2022-10-25,Headphones,Electronics,East,18-25,18,200.31,3605.58
2022-08-31,Headphones,Electronics,East,26-35,1,209.56,209.56
2024-04-27,Watch,Accessories,East,46+,9,138.63,1247.67
2023-01-20,Phone,Electronics,South,26-35,1,735.69,735.69
2023-07-01,T-Shirt,Clothing,South,26-35,1,28.18,28.18
2024-09-03,Headphones,Electronics,West,36-45,6,213.01,1278.06
2024-10-03,Backpack,Accessories,South,26-35,7,74.68,522.76
